experiment,seed,client,metric,value,attack,aggregator,heterogeneity,ablation
E1,42,0.0,fpr,0.0,,,,
E1,42,1.0,fpr,0.001001001001001001,,,,
E1,42,2.0,fpr,0.056056056056056056,,,,
E1,42,3.0,fpr,0.0890890890890891,,,,
E1,42,4.0,fpr,0.11911911911911911,,,,
E1,42,5.0,fpr,0.001001001001001001,,,,
E1,42,6.0,fpr,0.15015015015015015,,,,
E1,42,7.0,fpr,0.2222222222222222,,,,
E1,42,8.0,fpr,0.01901901901901902,,,,
E1,42,9.0,fpr,0.04504504504504504,,,,
E2,42,0.0,f1,0.0,gaussian_noise,,,
E2,42,0.0,precision,0.0,gaussian_noise,,,
E2,42,0.0,recall,0.0,gaussian_noise,,,
E2,42,0.0,fpr,0.0,gaussian_noise,,,
E2,42,0.0,f1,0.0,bias_injection,,,
E2,42,0.0,precision,0.0,bias_injection,,,
E2,42,0.0,recall,0.0,bias_injection,,,
E2,42,0.0,fpr,0.0,bias_injection,,,
E2,42,0.0,f1,0.0,desynchronize_current,,,
E2,42,0.0,precision,0.0,desynchronize_current,,,
E2,42,0.0,recall,0.0,desynchronize_current,,,
E2,42,0.0,fpr,0.0,desynchronize_current,,,
E2,42,1.0,f1,0.21669626998223804,gaussian_noise,,,
E2,42,1.0,precision,1.0,gaussian_noise,,,
E2,42,1.0,recall,0.12151394422310757,gaussian_noise,,,
E2,42,1.0,fpr,0.0,gaussian_noise,,,
E2,42,1.0,f1,0.003976143141153081,bias_injection,,,
E2,42,1.0,precision,1.0,bias_injection,,,
E2,42,1.0,recall,0.00199203187250996,bias_injection,,,
E2,42,1.0,fpr,0.0,bias_injection,,,
E2,42,1.0,f1,0.003976143141153081,desynchronize_current,,,
E2,42,1.0,precision,1.0,desynchronize_current,,,
E2,42,1.0,recall,0.00199203187250996,desynchronize_current,,,
E2,42,1.0,fpr,0.0,desynchronize_current,,,
E2,42,2.0,f1,0.057915057915057924,gaussian_noise,,,
E2,42,2.0,precision,0.9375,gaussian_noise,,,
E2,42,2.0,recall,0.029880478087649404,gaussian_noise,,,
E2,42,2.0,fpr,0.002,gaussian_noise,,,
E2,42,2.0,f1,0.003968253968253968,bias_injection,,,
E2,42,2.0,precision,0.5,bias_injection,,,
E2,42,2.0,recall,0.00199203187250996,bias_injection,,,
E2,42,2.0,fpr,0.002,bias_injection,,,
E2,42,2.0,f1,0.003968253968253968,desynchronize_current,,,
E2,42,2.0,precision,0.5,desynchronize_current,,,
E2,42,2.0,recall,0.00199203187250996,desynchronize_current,,,
E2,42,2.0,fpr,0.002,desynchronize_current,,,
E2,42,3.0,f1,0.0,gaussian_noise,,,
E2,42,3.0,precision,0.0,gaussian_noise,,,
E2,42,3.0,recall,0.0,gaussian_noise,,,
E2,42,3.0,fpr,0.0,gaussian_noise,,,
E2,42,3.0,f1,0.0,bias_injection,,,
E2,42,3.0,precision,0.0,bias_injection,,,
E2,42,3.0,recall,0.0,bias_injection,,,
E2,42,3.0,fpr,0.0,bias_injection,,,
E2,42,3.0,f1,0.0,desynchronize_current,,,
E2,42,3.0,precision,0.0,desynchronize_current,,,
E2,42,3.0,recall,0.0,desynchronize_current,,,
E2,42,3.0,fpr,0.0,desynchronize_current,,,
E2,42,4.0,f1,0.6145374449339207,gaussian_noise,,,
E2,42,4.0,precision,0.687192118226601,gaussian_noise,,,
E2,42,4.0,recall,0.5557768924302788,gaussian_noise,,,
E2,42,4.0,fpr,0.254,gaussian_noise,,,
E2,42,4.0,f1,0.006339144215530904,bias_injection,,,
E2,42,4.0,precision,0.015503875968992248,bias_injection,,,
E2,42,4.0,recall,0.00398406374501992,bias_injection,,,
E2,42,4.0,fpr,0.254,bias_injection,,,
E2,42,4.0,f1,0.015772870662460567,desynchronize_current,,,
E2,42,4.0,precision,0.03787878787878788,desynchronize_current,,,
E2,42,4.0,recall,0.0099601593625498,desynchronize_current,,,
E2,42,4.0,fpr,0.254,desynchronize_current,,,
E2,42,5.0,f1,0.7981755986316991,gaussian_noise,,,
E2,42,5.0,precision,0.9333333333333333,gaussian_noise,,,
