experiment,metric,attack,aggregator,ablation,heterogeneity,mean,std,n,sem,ci95
E1,fpr,,,,,0.1599199199199199,0.25011881645705003,100,0.025011881645705003,0.049023288025581806
E2,f1,bias_injection,,,,0.15495943880537752,0.2545234020587035,100,0.02545234020587035,0.049886586803505883
E2,f1,desynchronize_current,,,,0.1363339399784603,0.23648980579739773,100,0.023648980579739774,0.04635200193628995
E2,f1,gaussian_noise,,,,0.47428010721454894,0.2593826347255237,100,0.02593826347255237,0.05083899640620264
E2,fpr,bias_injection,,,,0.14958,0.25653767636341335,100,0.025653767636341335,0.05028138456722901
E2,fpr,desynchronize_current,,,,0.14958,0.25653767636341335,100,0.025653767636341335,0.05028138456722901
E2,fpr,gaussian_noise,,,,0.14958,0.25653767636341335,100,0.025653767636341335,0.05028138456722901
E2,precision,bias_injection,,,,0.45635224447018014,0.3917362515194467,100,0.03917362515194467,0.07678030529781155
E2,precision,desynchronize_current,,,,0.32834969960111726,0.3689260519244672,100,0.03689260519244672,0.07230950617719557
E2,precision,gaussian_noise,,,,0.7279438185483356,0.31764192803132635,100,0.03176419280313263,0.062257817894139963
E2,recall,bias_injection,,,,0.13525896414342628,0.25680703075370054,100,0.025680703075370053,0.0503341780277253
E2,recall,desynchronize_current,,,,0.11872509960159362,0.24022072018335944,100,0.024022072018335942,0.047083261155938444
E2,recall,gaussian_noise,,,,0.4040836653386454,0.26440623438433086,100,0.026440623438433085,0.051823621939328844
E3,clean_mse_normalized,,,,,0.0001257644147699466,0.00011391665928795875,10,3.602361067873247e-05,7.060627693031563e-05
E3,defended_mse_normalized,,,,,0.00020177338174107718,0.0002659271882779033,10,8.40935606722604e-05,0.0001648233789176304
E3,undefended_mse_normalized,,,,,0.00017558510917297098,0.00012708585056904863,10,4.018807461779994e-05,7.876862625088787e-05
E4,mse_normalized,additive_noise,coordinate_median,,,0.00011942502978854464,9.572866061858917e-05,10,3.0272060491200503e-05,5.933323856275298e-05
E4,mse_normalized,additive_noise,fedavg,,,0.0006704929532133974,0.0005547326531103873,10,0.00017542186762969128,0.0003438268605541949
E4,mse_normalized,additive_noise,krum,,,0.00012655815353355138,9.925774493365929e-05,10,3.138805494024019e-05,6.152058768287077e-05
E4,mse_normalized,additive_noise,trimmed_mean,,,0.00012132428455515764,0.00010391023425840391,10,3.2859301245821364e-05,6.440423044180987e-05
E4,mse_normalized,scaling,coordinate_median,,,9.945084684659378e-05,7.668973582957494e-05,10,2.4251423837807934e-05,4.753279072210355e-05
E4,mse_normalized,scaling,fedavg,,,2060.4612091064455,1545.9710299300348,10,488.87896512152497,958.2027716381889
E4,mse_normalized,scaling,krum,,,0.0001307371428993065,0.00010027390932038977,10,3.170939433416184e-05,6.21504128949572e-05
E4,mse_normalized,scaling,trimmed_mean,,,0.00010290414447808872,8.677270306724509e-05,10,2.7439938042197333e-05,5.378227856270677e-05
E4,mse_normalized,sign_flip,coordinate_median,,,0.024396092779807078,0.06856387237320692,10,0.021681800190042816,0.04249632837248392
