Experiment,Mean,Std,95_CI,N_seeds
E1 Clean Validation FPR (All Client Observations),0.06421421421421421,0.09167222406094098,0.017967755915944433,100
E1 Clean Validation FPR (Fleet Seed Means),0.06421421421421422,0.02773879756076535,0.017192684849882914,10
E2 bias_injection F1,0.9730272611270523,0.004371824550218471,0.0027096849294289825,10
E2 desynchronize_current F1,0.6679326097428439,0.09122771448884738,0.056543523249195045,10
E2 gaussian_noise F1,0.9712322678111001,0.005024614922069189,0.0031142885937255832,10
E3 Clean Baseline MSE,43.647452688217165,27.03520381737641,16.756592929678508,10
E3 Undefended MSE,43.35040674209595,29.31328165072358,18.168560199220142,10
E3 Defended MSE,50.44131293296814,32.99366407355658,20.449684858073972,10
E4 additive_noise_coordinate_median MSE,47.22546300888062,30.327433252372266,18.797137874187996,10
E4 additive_noise_fedavg MSE,158.1172794342041,116.77257805629922,72.37639372190985,10
E4 additive_noise_krum MSE,48.75205812454224,33.535520916849045,20.78553120902238,10
E4 additive_noise_trimmed_mean MSE,39.462993907928464,22.69776806991571,14.068222401022808,10
E4 scaling_coordinate_median MSE,45.41237769126892,31.03230811754752,19.234023841902143,10
E4 scaling_fedavg MSE,43.272882556915285,21.481146222314056,13.314152367472284,10
E4 scaling_krum MSE,108.67450528144836,224.86023267709183,139.36981612918615,10
E4 scaling_trimmed_mean MSE,32.01363887786865,10.549990182194076,6.538951660557019,10
E4 sign_flip_coordinate_median MSE,48.97317047119141,28.291460370328625,17.53522880811533,10
E4 sign_flip_fedavg MSE,49.62274222373962,34.930144403106205,21.649927801230064,10
E4 sign_flip_krum MSE,98.07234783172608,80.67798293321272,50.004731887040286,10
E4 sign_flip_trimmed_mean MSE,57.972911739349364,40.21878748095342,24.927862741335417,10
E4 zero_coordinate_median MSE,57.69918556213379,26.03615109658309,16.13737363802066,10
E4 zero_fedavg MSE,50.87889323234558,29.645643982232215,18.374560506518343,10
E4 zero_krum MSE,1376.6132840752603,3847.6296954493455,2384.785592381906,10
E4 zero_trimmed_mean MSE,58.857951164245605,34.47931386847675,21.370500140906692,10
E5 Heterogeneity 0.5 Mean F1,0.9736450729610983,0.0040876464199264126,0.0025335494994545072,10
E5 Heterogeneity 0.5 Worst F1,0.9448238002362235,0.013391013471856214,0.008299836138816684,10
E5 Heterogeneity 1.0 Mean F1,0.9730218897775034,0.004244060539584315,0.0026304959752150086,10
E5 Heterogeneity 1.0 Worst F1,0.9416845152592636,0.016288916408132882,0.010095974987294599,10
E5 Heterogeneity 2.0 Mean F1,0.9693151670659722,0.00763209139629181,0.0047304192560799485,10
E5 Heterogeneity 2.0 Worst F1,0.9075912145913148,0.06393715090044623,0.03962865669366995,10
E6 full_cross_modal F1,0.9031211686531382,0.11370696618791977,0.07047630780038966,10
E6 missing_current F1,0.17663567474905834,0.17238597509930456,0.10684593432464316,10
E6 missing_voltage F1,0.9020210930727093,0.11421590456571684,0.07079175107504164,10
E6 no_temporal_lag F1,0.903701085898609,0.11445898498940965,0.07094241388256137,10
E6 single_modal_ar F1,0.13301066047572913,0.1627235439955677,0.10085709748027959,10
E7 Verify/Train Time Ratio,0.0026046606709194285,0.0020497156219276835,0.0012704269045003295,10
E7 Verification Time (seconds),0.0007667400408536196,0.0005167021876109504,0.0003202553338290789,10
E7 Local Training Time (seconds),0.31001283004879954,0.08859308053163581,0.05491056020449525,10
E7 Verification Peak Memory (bytes),449997.9,16.127616066858735,9.995999999999999,10
E7 Training Peak Memory (bytes),172951.0,2218.800526811227,1375.226814307775,10
